,TF,Target,Mode of Regulation,References
3179,HSF2,FOS,Unknown,17915561
3209,IKBKB,MMP9,Repression,18600306
3218,ILF3,BIRC5,Activation,22442257
3232,ING2,BCL2,Repression,15748897
3238,ING4,BCL2,Repression,19895734;20707719
3251,IRF1,BCL2,Repression,10918594
3288,IRF1,MMP9,Unknown,12105194
3486,JUN,MMP9,Activation,15777790;18809380
3487,JUN,MMP9,Repression,21474819
3488,JUN,MMP9,Unknown,10935492;11774399
3512,JUN,PGR,Repression,14684847
3582,JUND,ERBB2,Unknown,10698518
3639,KDM4B,ESR1,Unknown,23723241
3653,KLF10,SERPINE1,Activation,12173049
3687,KLF4,BIRC5,Repression,19361279
3711,KLF4,KRT19,Activation,10859317
3729,KLF5,BIRC5,Activation,16595680
3739,KLF5,MMP9,Activation,18617520
3755,KLF6,MMP9,Repression,17071613;22211962
3771,KLF8,MMP9,Activation,21151179
3775,KLF9,PGR,Unknown,20463357
3784,LEF1,BIRC5,Unknown,19620402
3799,LEF1,ESR1,Unknown,18794125
3840,LMO4,ESR1,Unknown,16288053
3869,MAL,MMP9,Unknown,19724058
3871,MAML1,EGR1,Activation,23029358
3885,MAZ,MMP9,Unknown,16148153
3914,MECP2,ESR1,Repression,15870696
3915,MECP2,ESR1,Unknown,21655924;23242655
3983,MITF,FOS,Activation,14737107
4039,MSX2,BCL2,Repression,21730974
4054,MTA1,ESR1,Repression,24413532
4055,MTA1,ESR1,Unknown,11146623
4058,MTA1,MMP9,Unknown,12431981
4091,MYB,BCL2,Activation,11675351
4092,MYB,BCL2,Repression,20659323
4093,MYB,BCL2,Unknown,16088151
4106,MYB,ERBB2,Unknown,2577338
4146,MYC,BCL2,Unknown,18809243
4259,MYCN,BIRC5,Activation,22703967
4350,NCOA3,BCL2,Activation,22213475
4353,NCOA3,ERBB2,Unknown,10991938
4363,NCOA6,FOS,Activation,19329434
4367,NCOR1,ESR1,Repression,20101232
4391,NF1,FOS,Activation,9562250
4491,NFIL3,PGR,Unknown,1620116
4520,NFKB1,BCL2,Activation,14978135;18158998;19259124;20446017;21503108
4521,NFKB1,BCL2,Repression,12032828;15120608;18031796;18566231
4522,NFKB1,BCL2,Unknown,14739605;16022909;16453001;17673602;18761399;19233129;20103608;20332461
4539,NFKB1,BIRC5,Activation,17553314
4540,NFKB1,BIRC5,Unknown,14739605;20126979
4620,NFKB1,CXCL12,Activation,17530707
4642,NFKB1,EGR1,Repression,21983014
4750,NFKB1,MMP9,Activation,10359016;12193473;14600595;15536164;16014933;16687076;17121934;17174275;17186550;17498959;18056465;18298869;18567920;18801463;18843978;19303700;19454280;19539355;21963718
4751,NFKB1,MMP9,Repression,15605368;18566231
4752,NFKB1,MMP9,Unknown,11376631;12105194;14755547;15175338;17158602;17673602;17922642;18357389;19662350;19783786;20103608;20332461;7860222;9500201;9679762
4824,NFKB1,SERPINE1,Activation,11757833;12675842
4825,NFKB1,SERPINE1,Repression,15631825
4913,NFKBIA,MMP9,Unknown,11376631
4954,NFYB,FOS,Unknown,23595228
4969,NFYC,FOS,Unknown,23595228
4989,NKX2-3,EGR1,Unknown,21968973
5002,NKX3-1,ESR1,Unknown,18794125
5003,NKX3-1,FOS,Repression,22179513
5079,NR1I2,BCL2,Activation,16085054
5112,NR2E3,ESR1,Unknown,22174013
5195,NR4A1,SERPINE1,Unknown,12506026
5300,PARP1,BCL2,Repression,20564216
5319,PARP1,SERPINE1,Activation,22159350
5327,PAWR,BCL2,Repression,11912153;9989812
5331,PAX2,ERBB2,Unknown,10991938
5349,PAX5,BCL2,Repression,22105368
5412,PER1,BCL2,Activation,19675098
5418,PGR,BCL2,Activation,17785366
5419,PGR,BCL2,Unknown,9306964
5425,PGR,ERBB2,Repression,18483177
5426,PGR,ESR1,Activation,16982776
5458,PIAS1,MUC1,Repression,17717071
5464,PIAS2,MUC1,Repression,17717071
5467,PIAS3,ESR1,Unknown,22174013
5468,PIAS3,MUC1,Repression,17717071
5470,PIAS4,MUC1,Repression,17717071
5675,PPARA,MMP9,Repression,21840940
5681,PPARA,SERPINE1,Activation,15631825
5682,PPARA,SERPINE1,Unknown,12667383
5714,PPARG,BCL2,Activation,15067355
5715,PPARG,BCL2,Repression,14960510
5751,PPARG,MMP9,Repression,20021931
5770,PPARG,SERPINE1,Unknown,10073956
5834,PURA,ERBB2,Unknown,22899247
5875,RB1,BIRC5,Unknown,18504435
5891,RB1,FOS,Repression,1909121
5892,RB1,FOS,Unknown,7680889
5922,RBMX,EGR1,Repression,16707624
5923,RBMX,FOS,Repression,16707624
5977,RELA,BCL2,Activation,14978135;18158998;19259124;20446017;21503108
5978,RELA,BCL2,Repression,15120608;18031796;18566231
5979,RELA,BCL2,Unknown,14739605;16022909;16453001;17673602;18761399;19233129;20103608;20332461
5996,RELA,BIRC5,Activation,17553314
5997,RELA,BIRC5,Unknown,14739605;20126979
6074,RELA,CXCL12,Activation,17530707
6096,RELA,EGR1,Repression,21983014
6202,RELA,MMP9,Activation,10359016;12193473;14600595;15536164;16014933;16687076;17121934;17174275;17186550;17498959;18056465;18298869;18567920;18801463;18843978;19303700;19454280;19539355;21238464;21963718
6203,RELA,MMP9,Repression,15086314;15605368;18566231
6204,RELA,MMP9,Unknown,11376631;12105194;14755547;15175338;17158602;17673602;17922642;18357389;19662350;19783786;20103608;20332461;7860222;9500201;9679762
6240,RELA,PGR,Repression,8626413
6277,RELA,SERPINE1,Activation,11757833;12675842
6278,RELA,SERPINE1,Repression,15631825
6516,RUNX2,ESR1,Unknown,17350616
6556,RUNX3,MMP9,Repression,21128246
6600,SATB1,BCL2,Activation,20564216
6601,SATB1,BCL2,Unknown,21310710
6651,SIM2,BCL2,Repression,21729534
6686,SIRT1,MMP9,Repression,19376817;21474819
6722,SMAD2,BCL2,Unknown,24739390
6745,SMAD3,MMP9,Repression,15086314
6750,SMAD3,SERPINE1,Activation,17761371;24330518;9765209
6751,SMAD3,SERPINE1,Unknown,10557285
6764,SMAD4,BCL2,Unknown,24739390
6780,SMAD4,SERPINE1,Activation,9765209
6805,SMARCA4,FOS,Repression,10082538
6827,SNAI2,CXCL12,Activation,22074556
6833,SNAI2,MMP9,Activation,22074556
6995,SP1,BCL2,Unknown,10542244
6997,SP1,BIRC5,Unknown,17124180;22334592
7111,SP1,EGR1,Activation,8349585
7112,SP1,EGR1,Unknown,10826704
7119,SP1,ERBB2,Activation,12802284;22553354
7121,SP1,ESR1,Unknown,12237165;21235772
7143,SP1,FOS,Unknown,9528985
7190,SP1,ID4,Repression,9516472
7235,SP1,KRT19,Activation,10859317
7236,SP1,KRT5,Activation,12024040
7276,SP1,MMP9,Activation,19616522;21963718
7277,SP1,MMP9,Unknown,11060311;18357389;7860222
7329,SP1,PGR,Activation,10894148
7380,SP1,SERPINE1,Activation,15039136
7381,SP1,SERPINE1,Unknown,10880342;11251188
7498,SP2,MMP9,Repression,17071613
7508,SP3,BIRC5,Unknown,22334592
7547,SP3,ERBB2,Activation,22553354
7562,SP3,ID4,Repression,9516472
7622,SP4,BIRC5,Unknown,22334592
7624,SP4,ERBB2,Activation,22553354
7637,SPDEF,MMP9,Repression,20550708;22761428
7779,SRF,FOS,Activation,10742173;9734357
7780,SRF,FOS,Unknown,11846562;2200737;2493627
7791,SRF,MMP9,Unknown,19724058
7797,SRF,SERPINE1,Repression,15514113
7876,STAT1,MMP9,Repression,19965686
7877,STAT1,MUC1,Activation,17151127
7928,STAT3,BCL2,Activation,15184887;15805299;18839277;19926637;21435102;22504301
7929,STAT3,BCL2,Repression,22313388
7930,STAT3,BCL2,Unknown,18320073;20043094;20446017;21172343;21344490;21385902
7935,STAT3,BIRC5,Activation,15184887;16651438;17880940;19284568;19880237
7936,STAT3,BIRC5,Unknown,15469392;20826784;21344490
7982,STAT3,FOS,Activation,12600988;14737107;17204573
8037,STAT3,MMP9,Repression,20067773
8038,STAT3,MUC1,Activation,17151127;19578748;21325207
8127,STAT5A,ESR1,Unknown,11731618
8137,STAT5B,ESR1,Unknown,11731618
8162,STAT6,FOS,Activation,11922943
8163,STAT6,FOS,Unknown,18342537
8210,TBP,BCL2,Repression,11313951
8216,TBP,FOS,Activation,15767669
8269,TCF4,BCL2,Unknown,23671559
8270,TCF4,BIRC5,Unknown,19131553;19662654;19778454
8298,TCF7L2,BIRC5,Activation,20331626
8324,TFAP2A,BCL2,Repression,16533807
8347,TFAP2A,ERBB2,Unknown,10698518;15870067;18218085;22577344
8368,TFAP2A,KRT5,Activation,12024040
8373,TFAP2A,MMP9,Activation,17224907
8374,TFAP2A,MMP9,Repression,17224907
8400,TFAP2B,ERBB2,Unknown,10645007
8407,TFAP2C,ERBB2,Unknown,10645007
8408,TFAP2C,ESR1,Activation,11278455;19458056
8446,TGIF1,SERPINE1,Repression,19524896
8485,TP53,BCL2,Repression,11313951;17693666;19411072;20428827;9000137
8486,TP53,BCL2,Unknown,21859835
8492,TP53,BIRC5,Repression,17124180
8493,TP53,BIRC5,Unknown,19067706
8541,TP53,EGR1,Unknown,16990849
8544,TP53,ESR1,Unknown,21655924
8691,TP73,BIRC5,Unknown,19067706
8743,TWIST1,BCL2,Unknown,23095743
8753,TWIST1,ESR1,Repression,22056872
8756,TWIST1,FOS,Activation,19051271
8789,TWIST2,FOS,Activation,19051271
8851,USF1,ID4,Unknown,9516472
8873,USF1,SERPINE1,Activation,16902162
8874,USF1,SERPINE1,Unknown,12235287
8887,USF1,TGFB2,Activation,11776974
8941,USF2,TGFB2,Activation,11776974
8942,USF2,TGFB2,Unknown,8943301
8974,VDR,ERBB2,Unknown,10765127
9026,WT1,BCL2,Unknown,12644474
9103,XBP1,ESR1,Activation,15882996
9122,XRCC5,ERBB2,Unknown,22899247
9125,XRCC6,ERBB2,Unknown,22899247
9141,YBX1,ERBB2,Activation,19648825
9142,YBX1,ERBB2,Unknown,20838384
9187,YY1,ERBB2,Activation,19435870
9188,YY1,ERBB2,Unknown,15870067;18218085
9266,ZBTB16,BCL2,Repression,14769944
9286,ZBTB7A,FOS,Repression,17189472
9302,ZEB1,MUC1,Repression,12161443
9395,ZNRD1,BCL2,Activation,16373708;16609701
3,AATF,MYC,Activation,20549547
4,AATF,TP53,Unknown,17157788
12,ABL1,FOXO3,Activation,15509806
13,ABL1,JUN,Activation,15145216
14,ABL1,JUN,Repression,19357699
16,ABL1,TP53,Activation,11753601
18,AES,LEF1,Activation,20676368
22,AHR,ARNT,Unknown,19255421;8631989
23,AHR,BRCA1,Unknown,18259752
34,AHR,FOS,Unknown,10478842
41,AHR,MYC,Unknown,11114727;16091746
46,AIP,AHR,Activation,11469723
58,APC,DNMT1,Repression,12538344
60,APC,KLF4,Unknown,12387883
61,APC,MYC,Repression,16510874
70,APEX1,NFKB1,Activation,17045925
72,APEX1,RELA,Activation,17045925
99,AR,CTNNB1,Activation,18535113
102,AR,ELK4,Unknown,18469865
103,AR,EP300,Activation,22334658
111,AR,FOXA1,Unknown,12750453
120,AR,JUN,Activation,20148354
123,AR,KLF5,Unknown,19460858
133,AR,MYC,Unknown,24512546
136,AR,NFKB1,Repression,18386814
137,AR,NKX3-1,Activation,16697957;17303007
138,AR,NKX3-1,Unknown,11238180
153,AR,RELA,Repression,18386814
160,AR,TBP,Unknown,9238003
161,AR,TCF7L2,Unknown,12799378
181,ARID1A,SMAD3,Unknown,21900401
186,ARID3A,E2F1,Unknown,23659165
189,ARNT,AHR,Unknown,18540824
191,ARNT,BRCA1,Unknown,16567799
202,ARNT,ESR1,Unknown,17991765
203,ARNT,FOS,Repression,21544813
205,ARNT,HIF1A,Activation,14764593
206,ARNT,JUN,Repression,21544813
216,ARNTL,PER1,Activation,17994337;22750052
217,ARNTL,PER1,Unknown,17660446;21479263
246,ATF1,GABPA,Unknown,10585419
250,ATF1,MITF,Activation,12966428
251,ATF1,MITF,Unknown,20068147
281,ATF2,JUN,Activation,9502786
291,ATF2,RELA,Activation,21350211
312,ATF3,TP53,Unknown,22991139
346,ATF4,SIRT1,Activation,22363646
347,ATF4,SIRT1,Repression,21801305
356,ATF5,CREB1,Activation,17140605
372,ATF6,SRF,Unknown,9271374
375,ATF6,XBP1,Unknown,20003459;24269637
398,ATM,SP1,Repression,11466608
399,ATM,SP1,Unknown,12926986
412,BACH2,XBP1,Repression,24821775
413,BARD1,ESR1,Activation,20060929
414,BARX2,ESR1,Unknown,16636675
416,BCL11A,GATA1,Activation,23071749
417,BCL11A,GATA1,Unknown,20542454
420,BCL3,MYB,Unknown,9694711
421,BCL3,NFKB1,Repression,11387332
422,BCL3,NFKB1,Unknown,14573596;7896265
423,BCL3,RELA,Unknown,7896265
432,BCL6,HDAC7,Repression,11929873
435,BCL6,MYC,Activation,21394099
436,BCL6,NFKB1,Repression,15611242
439,BCL6,STAT3,Unknown,17951530
441,BCL6,XBP1,Repression,24821775
442,BDP1,MYC,Unknown,12734418
443,BDP1,RB1,Unknown,12734418
444,BDP1,TP53,Unknown,12734418
447,BIN1,MYC,Unknown,9797456
452,BRCA1,ATM,Activation,22832221
470,BRCA1,DDB2,Activation,12170778
475,BRCA1,EP300,Activation,11782371
476,BRCA1,EP300,Unknown,11405179
477,BRCA1,ESR1,Activation,20060929
478,BRCA1,FOS,Unknown,11313879
485,BRCA1,HIF1A,Unknown,16543242
503,BRCA1,MYC,Unknown,12032322;12646176
506,BRCA1,SIRT1,Activation,18851829;20160719;21407215;9000507
507,BRCA1,STAT1,Activation,17374731
509,BRCA1,STAT3,Unknown,11163768
522,BRIP1,BARD1,Unknown,20451671
527,BTAF1,TBP,Repression,20627952
528,BTAF1,TBP,Unknown,14988402;15509807;16858867
530,BTF3,ATM,Activation,17312387
535,BTF3,NFKB1,Repression,17312387
544,CBFB,GATA1,Unknown,8683991
546,CBFB,RUNX2,Unknown,24648201
547,CBFB,RUNX3,Unknown,24648201
558,CDX1,PPARG,Activation,19059241
560,CDX1,TBP,Unknown,17158164
563,CDX2,APC,Activation,23393221
564,CDX2,APC,Unknown,24501326
580,CDX2,KLF4,Activation,11521200
581,CDX2,KLF4,Unknown,23202735
590,CDX2,SP1,Unknown,22580340
596,CDX2,VDR,Unknown,11450701;16604479;16883525;19960008
633,CEBPA,MYC,Repression,12032779
646,CEBPA,STAT3,Unknown,24429361
679,CEBPB,HSF1,Unknown,11801594
719,CEBPB,XBP1,Activation,19717648
732,CEBPD,PPARG,Activation,10649448;18619497;20971808
739,CEBPE,GATA1,Repression,12202480
742,CEBPE,MYC,Repression,12947005
747,CEBPZ,APC,Activation,15087381
755,CHD8,BRCA1,Unknown,16949368
758,CHD8,MYC,Unknown,16949368
786,CIITA,IRF1,Unknown,12052885;15950283
793,CIITA,SIRT1,Repression,22064865
795,CIITA,STAT1,Unknown,12052885
809,CLOCK,PER1,Activation,17994337;22750052
810,CLOCK,PER1,Unknown,17660446;20551151;21479263
816,CNBP,MYC,Unknown,23774591
827,CREB1,AR,Unknown,15994978;21457548
849,CREB1,FOS,Unknown,12432566
850,CREB1,FOXA1,Unknown,22577344
851,CREB1,GABPA,Unknown,10585419
867,CREB1,JUN,Repression,8647095
868,CREB1,JUN,Unknown,10403485
872,CREB1,MITF,Activation,19937254
879,CREB1,NF1,Unknown,10435592
909,CREB1,SNAI2,Repression,15955695
932,CREB5,STAT1,Repression,21132541
936,CREBBP,BRCA1,Unknown,23285190
939,CREBBP,CREB1,Activation,19564345
942,CREBBP,EP300,Unknown,15154850
949,CREBBP,IRF1,Activation,18497060
951,CREBBP,PPARA,Unknown,10542237
958,CREBBP,TP53,Unknown,15154850
968,CREM,CREB1,Repression,11988318
972,CREM,FOS,Repression,21757709
986,CREM,TBP,Unknown,10409662
992,CRX,NR2E3,Activation,18294621
998,CTBP1,BRCA1,Repression,20818429
1009,CTCF,BRCA1,Unknown,19466541;24725430
1021,CTCF,MYC,Activation,19568426
1022,CTCF,MYC,Repression,12032779;12524457
1023,CTCF,MYC,Unknown,24725430;9591631
1025,CTCF,NF1,Unknown,21111075
1037,CTCF,WT1,Unknown,24534946
1039,CTNNB1,AR,Unknown,16141201
1049,CTNNB1,GLI2,Unknown,19797115
1050,CTNNB1,JUN,Activation,20300972
1051,CTNNB1,JUN,Unknown,19671687
1054,CTNNB1,MYC,Activation,20300972;21533051
1055,CTNNB1,MYC,Unknown,17724465;18679417;19662654;19778454
1061,CTNNB1,RB1,Repression,16628468
1065,CTNNBIP1,GLI2,Unknown,19797115
1076,DACH1,FOS,Repression,17182846
1090,DDIT3,ATF2,Repression,16164412
1091,DDIT3,ATF5,Repression,16164412
1094,DDIT3,CEBPA,Repression,21983012
1101,DDIT3,SIRT1,Repression,21801305
1121,DLX4,BRCA1,Repression,20877436
1126,DLX5,MYC,Activation,19497851
1127,DMAP1,ATM,Unknown,23318425
1130,DMAP1,DNMT1,Unknown,20864525
1142,DNMT1,ESR1,Unknown,21655924;23242655
1144,DNMT1,HDAC1,Unknown,24475290
1153,DNMT1,RB1,Repression,17934516
1156,DNMT1,RUNX3,Unknown,22274925
1162,DNMT1,TP53,Unknown,24006445
1174,DR1,NR1I2,Activation,18305375
1177,DR1,TBP,Repression,16858867
1178,DR1,TBP,Unknown,8670811
1179,DRAP1,TBP,Unknown,15509807
1184,E2F1,AR,Activation,21099103
1185,E2F1,AR,Unknown,22508987
1189,E2F1,ATM,Activation,12527885;22832221
1190,E2F1,ATM,Unknown,23993922
1199,E2F1,BRCA1,Repression,20068145
1200,E2F1,BRCA1,Unknown,18660752;19466541;23285190
1227,E2F1,DNMT1,Repression,24502362
1232,E2F1,E2F1,Unknown,7958836
1238,E2F1,ETV4,Activation,18687701
1275,E2F1,MYB,Unknown,8137237
1277,E2F1,MYC,Activation,11705881
1278,E2F1,MYCN,Activation,14645238
1291,E2F1,PPARG,Activation,12110166
1292,E2F1,PPARG,Unknown,20971808
1299,E2F1,RB1,Activation,8264596
1319,E2F1,TP53,Activation,15706352
1320,E2F1,TP53,Repression,8557038
1321,E2F1,TP53,Unknown,12625370;21441950;22241525
1325,E2F1,TP73,Activation,11115495;12766778;17980704
1326,E2F1,TP73,Unknown,11988839;19188449
1351,E2F4,AR,Unknown,22508987
1354,E2F4,BRCA1,Activation,20818429
1355,E2F4,BRCA1,Repression,17106239;20133863;21701264;23108140
1356,E2F4,BRCA1,Unknown,17001309
1368,E2F4,MYC,Unknown,17132729
1372,E2F4,PPARG,Repression,12110166
1379,E2F5,MYC,Unknown,17132729
1381,E2F6,BRCA1,Unknown,19466541
1384,E2F6,E2F1,Repression,18562691
1387,E2F7,E2F1,Repression,18202719
1389,E2F8,E2F1,Repression,18202719
1397,EBF1,ATF5,Unknown,20423929
1401,EGF,STAT1,Unknown,11939722
1411,EGR1,AR,Repression,15517885
1429,EGR1,EP300,Activation,18798221;20414733
1430,EGR1,EP300,Unknown,15635605
1445,EGR1,HIF1A,Activation,18506761
1466,EGR1,MYB,Repression,7559553
1468,EGR1,NFKB1,Unknown,10671503
1475,EGR1,PPARG,Unknown,12011097
1494,EGR1,TCF4,Activation,18798221
1502,EGR1,TP53,Activation,9242687
1503,EGR1,TP73,Unknown,16990849
1526,EHMT2,RUNX3,Activation,18850007
1555,ELF4,TP53,Repression,20805247
1561,ELK1,FOS,Unknown,11313879;11846562;20682780
1571,ELK1,SRF,Unknown,15531578
1577,ELK4,FOS,Activation,9734357
1578,ELK4,FOS,Unknown,11846562
1583,ELL,E2F1,Repression,24344198
1587,ENO1,MYC,Repression,10681589;9119380
1588,ENO1,MYC,Unknown,10528225;10802057;18490439;20412594;7880838
1589,ENO1,MYCN,Unknown,15382088
1596,EP300,BRCA1,Activation,23353771
1597,EP300,BRCA1,Unknown,23285190
1611,EP300,DNMT1,Activation,19275888
1630,EP300,MYC,Repression,19279113
1631,EP300,NFKB1,Unknown,9560267
1634,EP300,PARP1,Unknown,17065349
1639,EP300,RELA,Unknown,21146504
1645,EP300,TP73,Activation,11115495
1649,EP300,WT1,Activation,15752709;18064385
1650,EP300,YY1,Unknown,11486036
1651,EP300,ZEB1,Unknown,16804902
1660,EPAS1,USF2,Unknown,23991099
1667,ERCC2,E2F1,Unknown,9400991
1669,ERCC2,TP53,Activation,22387547
1671,ERF,ETS2,Repression,7588608
1703,ERG,ZEB1,Unknown,21747944
1705,ESR1,AHR,Unknown,10620335
1707,ESR1,AR,Activation,22391641
1712,ESR1,BRCA1,Unknown,11782371
1727,ESR1,CTNNB1,Repression,16628468
1735,ESR1,E2F1,Unknown,10446910;12697671
1737,ESR1,ESR1,Unknown,16636675
1741,ESR1,FOS,Unknown,10037443
1748,ESR1,JUN,Activation,11477071
1749,ESR1,JUN,Unknown,10037443
1757,ESR1,MYC,Unknown,11517191;19569049;22892083
1763,ESR1,PGR,Activation,10894148;12554765
1764,ESR1,PGR,Unknown,10835496
1771,ESR1,RUNX2,Unknown,11604227
1774,ESR1,SP1,Unknown,19652226
1781,ESR1,TP53,Repression,17681750
1788,ESR1,ZEB1,Activation,22391641
1797,ESR2,FOS,Unknown,10037443
1799,ESR2,JUN,Unknown,10037443
1810,ESRRA,AHR,Unknown,10620335
1819,ESRRA,SNAI2,Repression,15955695
1877,ETS1,MYB,Activation,7848925
1879,ETS1,NKX3-1,Activation,20842667
1880,ETS1,PARP1,Activation,11973649;24448423
1881,ETS1,PARP1,Repression,10435618
1897,ETS1,TFAP2A,Activation,12843180
1904,ETS1,TP53,Unknown,10510472
1910,ETS1,WT1,Activation,18064385
1936,ETS2,MYC,Unknown,22108824
1941,ETS2,TP53,Unknown,10510472
1943,ETV1,AR,Unknown,17505060
1946,ETV3,NFKB1,Repression,18025162
1947,ETV3,RELA,Repression,18025162
1956,ETV4,ETS1,Activation,8247540
1979,ETV7,ETS1,Unknown,22615925
1980,ETV7,ETS2,Unknown,22615925
1983,EWSR1,ATF1,Unknown,9569031
1986,EWSR1,MITF,Activation,12966428
1995,EZH2,APC,Repression,22907428
1997,EZH2,BRCA1,Unknown,21406404
2005,EZH2,CIITA,Repression,17911618;21266852
2011,EZH2,HDAC1,Repression,20132185
2017,EZH2,MYC,Repression,23079660
2026,EZH2,RUNX3,Repression,18430739;20631058;22222375
2027,EZH2,SATB1,Repression,21232178
2029,EZH2,SNAI2,Repression,23836662
2031,EZH2,TP53,Repression,20132185
2032,EZH2,TP53,Unknown,24006445
2033,EZH2,TWIST1,Repression,23836662
2034,EZH2,VDR,Unknown,23424038
2038,FHL2,NFKB1,Unknown,18752053
2039,FHL2,RELA,Unknown,18752053
2044,FLI1,EP300,Unknown,24058639
2049,FLI1,GATA1,Activation,12724402
2052,FLI1,HDAC1,Unknown,24058639
2076,FOS,CREM,Activation,21757709
2088,FOS,FOS,Repression,2498646
2089,FOS,FOXA1,Unknown,22577344
